,Stkcd,year,EX_INDAT_read,AT
3117,002229,2019,0.0,7811.0
3118,002229,2020,0.0,3409.0
3119,002230,2016,,
3120,002230,2017,,
3124,002231,2016,,
3125,002231,2017,,
3126,002231,2018,51.0,571.0
3127,002231,2019,74.0,4840.0
3128,002231,2020,70.0,2286.0
3129,002232,2016,,
3130,002232,2017,,
3131,002232,2018,19.0,353.0
3132,002232,2019,31.0,2693.0
3133,002232,2020,23.0,4057.0
3134,002233,2016,,
3135,002233,2017,,
3136,002233,2018,10.0,1491.0
3137,002233,2019,10.0,3576.0
3138,002233,2020,10.0,3164.0
3139,002234,2016,,
3140,002234,2017,,
3141,002234,2018,2.0,877.0
3143,002234,2020,4.0,7758.0
3144,002235,2016,,
3145,002235,2017,,
3149,002236,2016,,
3150,002236,2017,,
3154,002237,2016,,
3155,002237,2017,,
3158,002237,2020,10.0,8921.0
3159,002238,2016,,
3160,002238,2017,,
3161,002238,2018,5.0,872.0
3162,002238,2019,6.0,2740.0
3163,002238,2020,6.0,1667.0
3164,002239,2016,,
3165,002239,2017,,
3167,002239,2019,18.0,4611.0
3169,002240,2016,,
3170,002240,2017,,
3171,002240,2018,1.0,622.0
3172,002240,2019,0.0,6921.0
3173,002240,2020,0.0,4184.0
3174,002241,2016,,
3175,002241,2017,,
3176,002241,2018,51.0,1133.0
3179,002242,2016,,
3180,002242,2017,,
3181,002242,2018,22.0,532.0
3182,002242,2019,22.0,2101.0
3183,002242,2020,27.0,2958.0
3184,002243,2016,,
3185,002243,2017,,
3188,002243,2020,5.0,9290.0
3189,002244,2016,,
3190,002244,2017,,
3191,002244,2018,19.0,370.0
3192,002244,2019,15.0,1600.0
3193,002244,2020,10.0,1132.0
3194,002245,2016,,
3195,002245,2017,,
3196,002245,2018,1.0,943.0
3197,002245,2019,1.0,2924.0
3198,002245,2020,0.0,10901.0
3199,002246,2016,,
3200,002246,2017,,
3201,002246,2018,23.0,403.0
3202,002246,2019,16.0,2503.0
3203,002246,2020,12.0,3746.0
3204,002247,2016,,
3205,002247,2017,,
3206,002247,2018,13.0,1030.0
3207,002247,2019,15.0,8569.0
3208,002247,2020,13.0,2992.0
3209,002248,2016,,
3210,002248,2017,,
3211,002248,2018,6.0,453.0
3212,002248,2019,10.0,1799.0
3213,002248,2020,8.0,2442.0
3214,002249,2016,,
3215,002249,2017,,
3216,002249,2018,22.0,567.0
3217,002249,2019,22.0,5688.0
3218,002249,2020,27.0,9352.0
3219,002250,2016,,
3220,002250,2017,,
3221,002250,2018,23.0,394.0
3222,002250,2019,16.0,2611.0
3223,002250,2020,12.0,1018.0
3224,002251,2016,,
3225,002251,2017,,
3226,002251,2018,7.0,664.0
3227,002251,2019,7.0,2480.0
3228,002251,2020,12.0,2657.0
3229,002252,2016,,
3230,002252,2017,,
3234,002253,2016,,
3235,002253,2017,,
3236,002253,2018,19.0,510.0
3237,002253,2019,31.0,2185.0
3238,002253,2020,23.0,2747.0
3239,002254,2016,,
3240,002254,2017,,
3241,002254,2018,3.0,767.0
3242,002254,2019,3.0,3150.0
3243,002254,2020,2.0,2104.0
3244,002255,2016,,
3245,002255,2017,,
3246,002255,2018,6.0,246.0
3247,002255,2019,10.0,2613.0
3248,002255,2020,8.0,6092.0
3249,002256,2016,,
3250,002256,2017,,
3251,002256,2018,23.0,1419.0
3253,002256,2020,5.0,7515.0
3254,002258,2016,,
3255,002258,2017,,
3256,002258,2018,23.0,1011.0
3257,002258,2019,16.0,2660.0
3258,002258,2020,12.0,2458.0
3259,002261,2016,,
3260,002261,2017,,
3261,002261,2018,19.0,1677.0
3264,002262,2016,,
3265,002262,2017,,
3266,002262,2018,26.0,1585.0
3267,002262,2019,17.0,3224.0
3268,002262,2020,37.0,3347.0
3269,002263,2016,,
3270,002263,2017,,
3273,002263,2020,5.0,9364.0
3274,002264,2016,,
3275,002264,2017,,
3277,002264,2019,7.0,8845.0
3278,002264,2020,12.0,4674.0
3279,002265,2016,,
3280,002265,2017,,
3281,002265,2018,11.0,685.0
3282,002265,2019,18.0,4237.0
3283,002265,2020,15.0,985.0
3284,002266,2016,,
3285,002266,2017,,
3286,002266,2018,22.0,511.0
3287,002266,2019,22.0,3871.0
3288,002266,2020,2.0,2520.0
3289,002267,2016,,
3290,002267,2017,,
3291,002267,2018,3.0,949.0
3292,002267,2019,1.0,2818.0
3293,002267,2020,0.0,1811.0
3294,002268,2016,,
3295,002268,2017,,
3296,002268,2018,19.0,566.0
3297,002268,2019,31.0,3425.0
3298,002268,2020,23.0,5570.0
3299,002269,2016,,
3300,002269,2017,,
3301,002269,2018,3.0,596.0
3302,002269,2019,2.0,2988.0
3303,002269,2020,4.0,5003.0
3304,002270,2016,,
3305,002270,2017,,
3306,002270,2018,22.0,405.0
3307,002270,2019,22.0,3328.0
3308,002270,2020,27.0,3897.0
3309,002271,2016,,
3310,002271,2017,,
3311,002271,2018,10.0,950.0
3312,002271,2019,10.0,2471.0
3313,002271,2020,10.0,5882.0
3314,002272,2016,,
3315,002272,2017,,
3316,002272,2018,6.0,337.0
3317,002272,2019,10.0,2837.0
3318,002272,2020,8.0,3631.0
3319,002273,2016,,
3320,002273,2017,,
3321,002273,2018,51.0,720.0
3322,002273,2019,74.0,6638.0
3324,002274,2016,,
3325,002274,2017,,
3326,002274,2018,23.0,303.0
3328,002274,2020,12.0,5913.0
3329,002275,2016,,
3330,002275,2017,,
3331,002275,2018,26.0,373.0
3332,002275,2019,17.0,1012.0
3333,002275,2020,37.0,1235.0
3334,002276,2016,,
3335,002276,2017,,
3336,002276,2018,22.0,600.0
3337,002276,2019,22.0,4459.0
3338,002276,2020,27.0,7669.0
3339,002277,2016,,
3340,002277,2017,,
3341,002277,2018,7.0,804.0
3342,002277,2019,7.0,2696.0
3343,002277,2020,12.0,8494.0
3344,002278,2016,,
3345,002278,2017,,
3346,002278,2018,15.0,687.0
3347,002278,2019,9.0,1979.0
3348,002278,2020,16.0,1330.0
3349,002279,2016,,
3350,002279,2017,,
3351,002279,2018,19.0,641.0
3352,002279,2019,31.0,4128.0
3353,002279,2020,23.0,4888.0
3354,002280,2016,,
3355,002280,2017,,
3356,002280,2018,19.0,1665.0
3359,002281,2016,,
3360,002281,2017,,
3362,002281,2019,74.0,6395.0
3363,002281,2020,70.0,6244.0
3364,002282,2016,,
3365,002282,2017,,
3366,002282,2018,6.0,456.0
3367,002282,2019,10.0,1275.0
3368,002282,2020,8.0,726.0
3369,002283,2016,,
3370,002283,2017,,
3371,002283,2018,11.0,388.0
3372,002283,2019,18.0,2110.0
3373,002283,2020,15.0,3720.0
3374,002284,2016,,
3375,002284,2017,,
3376,002284,2018,11.0,431.0
3377,002284,2019,18.0,2441.0
3378,002284,2020,15.0,3522.0
3379,002285,2016,,
3380,002285,2017,,
3381,002285,2018,19.0,1035.0
3382,002285,2019,15.0,4042.0
3383,002285,2020,10.0,7952.0
3384,002286,2016,,
3385,002286,2017,,
3386,002286,2018,1.0,392.0
3387,002286,2019,4.0,1248.0
3389,002287,2016,,
3390,002287,2017,,
3391,002287,2018,26.0,365.0
3392,002287,2019,17.0,1191.0
3393,002287,2020,37.0,4122.0
3394,002288,2016,,
3395,002288,2017,,
3397,002288,2019,74.0,8739.0
3398,002288,2020,70.0,8566.0
3399,002289,2016,,
3400,002289,2017,,
3401,002289,2018,51.0,545.0
3402,002289,2019,74.0,1637.0
3403,002289,2020,70.0,690.0
3404,002290,2016,,
3405,002290,2017,,
3406,002290,2018,22.0,394.0
3407,002290,2019,22.0,2168.0
3408,002290,2020,27.0,1430.0
3409,002291,2016,,
3410,002291,2017,,
3411,002291,2018,3.0,821.0
3412,002291,2019,2.0,7405.0
3414,002292,2016,,
3415,002292,2017,,
3416,002292,2018,0.0,1095.0
3417,002292,2019,0.0,5623.0
3418,002292,2020,0.0,8101.0
3419,002293,2016,,
3420,002293,2017,,
3421,002293,2018,4.0,458.0
3422,002293,2019,2.0,1165.0
3423,002293,2020,3.0,865.0
3424,002294,2016,,
3425,002294,2017,,
3426,002294,2018,26.0,916.0
3427,002294,2019,17.0,3896.0
3428,002294,2020,37.0,2056.0
3429,002295,2016,,
3430,002295,2017,,
3431,002295,2018,17.0,708.0
3432,002295,2019,12.0,974.0
3433,002295,2020,10.0,1283.0
3434,002296,2016,,
3435,002296,2017,,
3436,002296,2018,51.0,501.0
3437,002296,2019,74.0,5718.0
3438,002296,2020,70.0,3472.0
3439,002297,2016,,
3440,002297,2017,,
3441,002297,2018,10.0,857.0
3442,002297,2019,10.0,4035.0
3443,002297,2020,10.0,3064.0
3444,002298,2016,,
3445,002298,2017,,
3446,002298,2018,19.0,752.0
3447,002298,2019,31.0,5275.0
3448,002298,2020,23.0,7706.0
3449,002299,2016,,
3450,002299,2017,,
3451,002299,2018,2.0,533.0
3452,002299,2019,4.0,7293.0
3453,002299,2020,4.0,8452.0
3454,002300,2016,,
3455,002300,2017,,
3456,002300,2018,22.0,395.0
3457,002300,2019,22.0,4041.0
3458,002300,2020,27.0,3268.0
3459,002301,2016,,
3460,002301,2017,,
3461,002301,2018,0.0,868.0
3462,002301,2019,0.0,3392.0
3463,002301,2020,0.0,4599.0
3464,002302,2016,,
3465,002302,2017,,
3466,002302,2018,10.0,1448.0
3468,002302,2020,10.0,9737.0
3469,002303,2016,,
3470,002303,2017,,
3471,002303,2018,3.0,929.0
3473,002303,2020,0.0,8092.0
3474,002304,2016,,
3475,002304,2017,,
3476,002304,2018,2.0,1288.0
3479,002305,2016,,
3480,002305,2017,,
3481,002305,2018,19.0,1449.0
3482,002305,2019,15.0,3932.0
3483,002305,2020,10.0,7703.0
3484,002306,2016,,
3485,002306,2017,,
3486,002306,2018,1.0,981.0
3487,002306,2019,0.0,3991.0
3488,002306,2020,0.0,3081.0
3489,002307,2016,,
3490,002307,2017,,
3491,002307,2018,11.0,1262.0
3492,002307,2019,8.0,6481.0
3493,002307,2020,7.0,5143.0
3494,002308,2016,,
3495,002308,2017,,
3497,002308,2019,74.0,8416.0
3498,002308,2020,70.0,11121.0
3499,002309,2016,,
3500,002309,2017,,
3501,002309,2018,22.0,1432.0
3502,002309,2019,22.0,4789.0
3503,002309,2020,27.0,2973.0
3504,002310,2016,,
3505,002310,2017,,
3508,002310,2020,2.0,9941.0
3509,002311,2016,,
3510,002311,2017,,
3511,002311,2018,1.0,328.0
3512,002311,2019,4.0,1706.0
3513,002311,2020,9.0,2457.0
3514,002312,2016,,
3515,002312,2017,,
3518,002312,2020,12.0,10547.0
3519,002313,2016,,
3520,002313,2017,,
3521,002313,2018,51.0,1125.0
3522,002313,2019,74.0,3431.0
3523,002313,2020,70.0,3381.0
3524,002314,2016,,
3525,002314,2017,,
3526,002314,2018,19.0,763.0
3527,002314,2019,15.0,2323.0
3528,002314,2020,10.0,2864.0
3529,002315,2016,,
3530,002315,2017,,
3531,002315,2018,13.0,471.0
3532,002315,2019,15.0,3156.0
3533,002315,2020,13.0,7391.0
3534,002316,2016,,
3535,002316,2017,,
3536,002316,2018,19.0,649.0
3538,002316,2020,23.0,3730.0
3539,002317,2016,,
3540,002317,2017,,
3541,002317,2018,26.0,484.0
3542,002317,2019,17.0,3651.0
3543,002317,2020,37.0,9266.0
3544,002318,2016,,
3545,002318,2017,,
3546,002318,2018,2.0,795.0
3547,002318,2019,3.0,4045.0
3548,002318,2020,0.0,3977.0
3549,002319,2016,,
3550,002319,2017,,
3551,002319,2018,23.0,533.0
3552,002319,2019,16.0,2887.0
3553,002319,2020,12.0,702.0
3554,002320,2016,,
3555,002320,2017,,
3556,002320,2018,2.0,877.0
3557,002320,2019,2.0,3511.0
3558,002320,2020,0.0,4470.0
3559,002322,2016,,
3560,002322,2017,,
3561,002322,2018,22.0,313.0
3562,002322,2019,31.0,1246.0
3563,002322,2020,23.0,919.0
3564,002324,2016,,
3565,002324,2017,,
3566,002324,2018,5.0,362.0
3567,002324,2019,4.0,587.0
3568,002324,2020,5.0,3421.0
3569,002325,2016,,
3570,002325,2017,,
3571,002325,2018,1.0,550.0
3572,002325,2019,0.0,3103.0
3573,002325,2020,2.0,5055.0
3574,002326,2016,,
3575,002326,2017,,
3576,002326,2018,23.0,736.0
3577,002326,2019,16.0,4600.0
3579,002327,2016,,
3580,002327,2017,,
3581,002327,2018,4.0,184.0
3582,002327,2019,2.0,1249.0
3583,002327,2020,3.0,1368.0
3584,002328,2016,,
3585,002328,2017,,
3587,002328,2019,18.0,4230.0
3588,002328,2020,15.0,11241.0
3589,002329,2016,,
3590,002329,2017,,
3594,002330,2016,,
3595,002330,2017,,
3596,002330,2018,1.0,618.0
3597,002330,2019,4.0,9377.0
3598,002330,2020,9.0,4254.0
3599,002331,2016,,
3600,002331,2017,,
3601,002331,2018,19.0,797.0
3602,002331,2019,31.0,2289.0
3603,002331,2020,23.0,5754.0
3604,002332,2016,,
3605,002332,2017,,
3606,002332,2018,26.0,566.0
3607,002332,2019,17.0,3788.0
3608,002332,2020,37.0,4540.0
3609,002333,2016,,
3610,002333,2017,,
3612,002333,2019,12.0,4455.0
3613,002333,2020,10.0,1907.0
3614,002334,2016,,
3615,002334,2017,,
3616,002334,2018,22.0,835.0
3617,002334,2019,22.0,4586.0
3618,002334,2020,27.0,6306.0
3619,002335,2016,,
3620,002335,2017,,
3621,002335,2018,22.0,605.0
3622,002335,2019,22.0,2524.0
3623,002335,2020,27.0,4781.0
3624,002336,2016,,
3625,002336,2017,,
3626,002336,2018,7.0,637.0
3627,002336,2019,7.0,2190.0
3628,002336,2020,12.0,1311.0
3629,002337,2016,,
3630,002337,2017,,
3632,002337,2019,9.0,3564.0
3633,002337,2020,16.0,1320.0
3634,002338,2016,,
3635,002338,2017,,
3636,002338,2018,0.0,1019.0
3637,002338,2019,0.0,6058.0
3638,002338,2020,3.0,6635.0
3639,002339,2016,,
3640,002339,2017,,
3641,002339,2018,22.0,387.0
3642,002339,2019,22.0,2414.0
3643,002339,2020,27.0,4448.0
3644,002340,2016,,
3645,002340,2017,,
3646,002340,2018,1.0,1185.0
3647,002340,2019,2.0,8941.0
3649,002341,2016,,
3650,002341,2017,,
3651,002341,2018,23.0,647.0
3654,002342,2016,,
3655,002342,2017,,
3656,002342,2018,2.0,1177.0
3657,002342,2019,3.0,2976.0
3658,002342,2020,0.0,8425.0
3659,002343,2016,,
3660,002343,2017,,
3661,002343,2018,3.0,813.0
3662,002343,2019,4.0,8134.0
3663,002343,2020,3.0,4163.0
3664,002344,2016,,
3665,002344,2017,,
3666,002344,2018,5.0,682.0
3667,002344,2019,4.0,3340.0
3668,002344,2020,8.0,3464.0
3669,002345,2016,,
3670,002345,2017,,
3671,002345,2018,5.0,998.0
3672,002345,2019,3.0,4953.0
3673,002345,2020,1.0,3801.0
3674,002346,2016,,
3675,002346,2017,,
3676,002346,2018,22.0,1252.0
3677,002346,2019,22.0,1834.0
3678,002346,2020,27.0,1497.0
3679,002347,2016,,
3680,002347,2017,,
3681,002347,2018,6.0,512.0
3682,002347,2019,10.0,2877.0
3683,002347,2020,8.0,2076.0
3684,002348,2016,,
3685,002348,2017,,
3686,002348,2018,0.0,849.0
3687,002348,2019,0.0,2590.0
3688,002348,2020,0.0,5883.0
3689,002349,2016,,
3690,002349,2017,,
3691,002349,2018,26.0,344.0
3692,002349,2019,17.0,1311.0
3693,002349,2020,37.0,3888.0
3694,002350,2016,,
3695,002350,2017,,
3696,002350,2018,22.0,473.0
3697,002350,2019,22.0,1360.0
3698,002350,2020,27.0,2118.0
3699,002351,2016,,
3700,002351,2017,,
3701,002351,2018,51.0,786.0
3704,002352,2016,,
3705,002352,2017,,
3706,002352,2018,0.0,783.0
3707,002352,2019,0.0,5079.0
3708,002352,2020,0.0,11388.0
3709,002353,2016,,
3710,002353,2017,,
3711,002353,2018,15.0,1346.0
3712,002353,2019,9.0,3324.0
3713,002353,2020,16.0,6531.0
3714,002354,2016,,
3715,002354,2017,,
3718,002354,2020,13.0,6210.0
3719,002355,2016,,
3720,002355,2017,,
3721,002355,2018,11.0,493.0
3722,002355,2019,18.0,4823.0
3723,002355,2020,15.0,1426.0
3724,002357,2016,,
3725,002357,2017,,
3726,002357,2018,1.0,1216.0
3727,002357,2019,1.0,4250.0
3728,002357,2020,3.0,2595.0
3729,002359,2016,,
3730,002359,2017,,
3733,002359,2020,6.0,3683.0
3734,002360,2016,,
3735,002360,2017,,
3736,002360,2018,23.0,665.0
3737,002360,2019,16.0,1718.0
3738,002360,2020,12.0,1907.0
3739,002361,2016,,
3740,002361,2017,,
3741,002361,2018,23.0,344.0
3742,002361,2019,16.0,2383.0
3743,002361,2020,12.0,5150.0
3744,002362,2016,,
3745,002362,2017,,
3746,002362,2018,51.0,652.0
3747,002362,2019,74.0,3103.0
3748,002362,2020,70.0,6273.0
3749,002363,2016,,
3750,002363,2017,,
3751,002363,2018,11.0,407.0
3752,002363,2019,18.0,1684.0
3753,002363,2020,15.0,4174.0
3754,002364,2016,,
3755,002364,2017,,
3756,002364,2018,22.0,629.0
3757,002364,2019,22.0,3258.0
3758,002364,2020,27.0,4668.0
3759,002365,2016,,
3760,002365,2017,,
3761,002365,2018,26.0,606.0
3762,002365,2019,17.0,2446.0
3763,002365,2020,37.0,2375.0
3764,002366,2016,,
3765,002366,2017,,
3767,002366,2019,9.0,6645.0
3768,002366,2020,16.0,6183.0
3769,002367,2016,,
3770,002367,2017,,
3771,002367,2018,6.0,1446.0
3772,002367,2019,10.0,4529.0
3773,002367,2020,8.0,4362.0
3774,002368,2016,,
3775,002368,2017,,
3776,002368,2018,19.0,687.0
3777,002368,2019,31.0,4293.0
3778,002368,2020,23.0,2995.0
3779,002369,2016,,
3780,002369,2017,,
3783,002369,2020,70.0,10492.0
3784,002370,2016,,
3785,002370,2017,,
3786,002370,2018,26.0,417.0
3788,002370,2020,37.0,5967.0
3789,002371,2016,,
3790,002371,2017,,
3791,002371,2018,15.0,807.0
3792,002371,2019,9.0,5468.0
3794,002372,2016,,
3795,002372,2017,,
3796,002372,2018,5.0,346.0
3797,002372,2019,4.0,1611.0
3798,002372,2020,5.0,1614.0
3799,002373,2016,,
3800,002373,2017,,
3801,002373,2018,19.0,650.0
3802,002373,2019,31.0,8727.0
3804,002374,2016,,
3805,002374,2017,,
3806,002374,2018,11.0,790.0
3807,002374,2019,8.0,2840.0
3808,002374,2020,7.0,2532.0
3809,002375,2016,,
3810,002375,2017,,
3811,002375,2018,1.0,1409.0
3812,002375,2019,0.0,3086.0
3813,002375,2020,2.0,2248.0
3814,002376,2016,,
3815,002376,2017,,
3816,002376,2018,51.0,877.0
3817,002376,2019,74.0,2736.0
3818,002376,2020,70.0,2964.0
3819,002377,2016,,
3820,002377,2017,,
3821,002377,2018,19.0,789.0
3822,002377,2019,15.0,2037.0
3823,002377,2020,10.0,2142.0
3824,002378,2016,,
3825,002378,2017,,
3826,002378,2018,17.0,430.0
3827,002378,2019,12.0,4539.0
3828,002378,2020,10.0,3480.0
3829,002379,2016,,
3830,002379,2017,,
3831,002379,2018,17.0,1189.0
3832,002379,2019,12.0,5515.0
3833,002379,2020,10.0,5560.0
3834,002380,2016,,
3835,002380,2017,,
3836,002380,2018,22.0,304.0
3837,002380,2019,31.0,1247.0
3838,002380,2020,23.0,1567.0
3839,002381,2016,,
3840,002381,2017,,
3841,002381,2018,5.0,337.0
3842,002381,2019,4.0,1577.0
3843,002381,2020,5.0,1272.0
3844,002382,2016,,
3845,002382,2017,,
3846,002382,2018,15.0,598.0
3847,002382,2019,9.0,1637.0
3849,002383,2016,,
3850,002383,2017,,
3851,002383,2018,51.0,841.0
3852,002383,2019,74.0,8435.0
3853,002383,2020,70.0,7137.0
3854,002384,2016,,
3855,002384,2017,,
3859,002385,2016,,
3860,002385,2017,,
3861,002385,2018,1.0,1171.0
3864,002386,2016,,
3865,002386,2017,,
3866,002386,2018,23.0,773.0
3867,002386,2019,16.0,5941.0
3868,002386,2020,12.0,5925.0
3869,002387,2016,,
3870,002387,2017,,
3871,002387,2018,51.0,664.0
3872,002387,2019,74.0,4373.0
3873,002387,2020,70.0,5220.0
3874,002388,2016,,
3875,002388,2017,,
3876,002388,2018,51.0,365.0
3877,002388,2019,74.0,5369.0
3878,002388,2020,70.0,1381.0
3879,002389,2016,,
3880,002389,2017,,
3881,002389,2018,51.0,963.0
3882,002389,2019,74.0,3197.0
3883,002389,2020,70.0,8122.0
3884,002390,2016,,
3885,002390,2017,,
3886,002390,2018,26.0,517.0
3887,002390,2019,17.0,2611.0
3888,002390,2020,37.0,3474.0
3889,002391,2016,,
3890,002391,2017,,
3891,002391,2018,23.0,322.0
3892,002391,2019,16.0,2471.0
3893,002391,2020,12.0,6450.0
3894,002392,2016,,
3895,002392,2017,,
3896,002392,2018,10.0,449.0
3897,002392,2019,10.0,1485.0
3898,002392,2020,10.0,2935.0
3899,002393,2016,,
3900,002393,2017,,
3901,002393,2018,26.0,491.0
3902,002393,2019,17.0,1962.0
3903,002393,2020,37.0,2008.0
3904,002394,2016,,
3905,002394,2017,,
3906,002394,2018,4.0,525.0
3907,002394,2019,2.0,1698.0
3908,002394,2020,3.0,1931.0
3909,002395,2016,,
3910,002395,2017,,
3911,002395,2018,5.0,289.0
3912,002395,2019,4.0,754.0
3913,002395,2020,5.0,507.0
3914,002396,2016,,
3915,002396,2017,,
3916,002396,2018,51.0,568.0
3918,002396,2020,70.0,10344.0
3919,002397,2016,,
3920,002397,2017,,
3921,002397,2018,4.0,865.0
3922,002397,2019,2.0,1360.0
3923,002397,2020,3.0,8604.0
3924,002398,2016,,
3925,002398,2017,,
3926,002398,2018,1.0,430.0
3927,002398,2019,1.0,1742.0
3928,002398,2020,12.0,2702.0
3929,002399,2016,,
3930,002399,2017,,
3931,002399,2018,26.0,700.0
3932,002399,2019,17.0,4498.0
3933,002399,2020,37.0,3887.0
3934,002400,2016,,
3935,002400,2017,,
3936,002400,2018,5.0,1149.0
3937,002400,2019,4.0,4341.0
3939,002401,2016,,
3940,002401,2017,,
3941,002401,2018,19.0,427.0
3942,002401,2019,31.0,2902.0
3943,002401,2020,23.0,3587.0
3944,002402,2016,,
3945,002402,2017,,
3946,002402,2018,51.0,1158.0
3948,002402,2020,70.0,9737.0
3949,002403,2016,,
3950,002403,2017,,
3951,002403,2018,2.0,588.0
3952,002403,2019,3.0,1501.0
3953,002403,2020,0.0,1160.0
3954,002404,2016,,
3955,002404,2017,,
3956,002404,2018,3.0,489.0
3957,002404,2019,2.0,5340.0
3958,002404,2020,4.0,4675.0
3959,002405,2016,,
3960,002405,2017,,
3964,002406,2016,,
3965,002406,2017,,
3966,002406,2018,11.0,348.0
3967,002406,2019,18.0,1680.0
3968,002406,2020,15.0,2475.0
3969,002407,2016,,
3970,002407,2017,,
3974,002408,2016,,
3975,002408,2017,,
3977,002408,2019,16.0,4511.0
3978,002408,2020,12.0,5024.0
3979,002409,2016,,
3980,002409,2017,,
3981,002409,2018,23.0,265.0
3982,002409,2019,16.0,2385.0
3983,002409,2020,12.0,10097.0
3984,002410,2016,,
3985,002410,2017,,
3986,002410,2018,19.0,952.0
3987,002410,2019,31.0,1514.0
3988,002410,2020,23.0,1817.0
3989,002411,2016,,
3990,002411,2017,,
3992,002411,2019,17.0,6251.0
3994,002412,2016,,
3995,002412,2017,,
3996,002412,2018,26.0,280.0
3997,002412,2019,17.0,1769.0
3998,002412,2020,37.0,3763.0
3999,002413,2016,,
4000,002413,2017,,
4001,002413,2018,51.0,968.0
4002,002413,2019,74.0,5686.0
4004,002414,2016,,
4005,002414,2017,,
4006,002414,2018,51.0,906.0
4007,002414,2019,74.0,2518.0
4008,002414,2020,70.0,8923.0
4009,002415,2016,,
4010,002415,2017,,
4011,002415,2018,51.0,1791.0
4014,002416,2016,,
4015,002416,2017,,
4016,002416,2018,11.0,452.0
4017,002416,2019,6.0,4998.0
4018,002416,2020,5.0,8464.0
4019,002417,2016,,
4020,002417,2017,,
4021,002417,2018,51.0,1330.0
4022,002417,2019,31.0,7484.0
4023,002417,2020,23.0,10872.0
4024,002418,2016,,
4025,002418,2017,,
4027,002418,2019,10.0,10068.0
4028,002418,2020,8.0,2839.0
4029,002419,2016,,
4030,002419,2017,,
4031,002419,2018,7.0,511.0
4032,002419,2019,7.0,1904.0
4033,002419,2020,12.0,4928.0
4034,002420,2016,,
4035,002420,2017,,
4036,002420,2018,5.0,630.0
4037,002420,2019,4.0,2260.0
4038,002420,2020,5.0,1774.0
4039,002421,2016,,
4040,002421,2017,,
4041,002421,2018,19.0,785.0
4042,002421,2019,31.0,6877.0
4043,002421,2020,23.0,9412.0
4044,002422,2016,,
4045,002422,2017,,
4046,002422,2018,26.0,865.0
4047,002422,2019,17.0,5468.0
4048,002422,2020,37.0,5620.0
4049,002424,2016,,
4050,002424,2017,,
4051,002424,2018,26.0,1060.0
4052,002424,2019,17.0,5819.0
4053,002424,2020,37.0,4464.0
4054,002425,2016,,
4055,002425,2017,,
4056,002425,2018,13.0,787.0
4057,002425,2019,15.0,5318.0
4059,002426,2016,,
4060,002426,2017,,
4061,002426,2018,51.0,1164.0
4062,002426,2019,74.0,9330.0
4064,002428,2016,,
4065,002428,2017,,
4066,002428,2018,17.0,1006.0
4067,002428,2019,12.0,8399.0
4068,002428,2020,10.0,7162.0
4069,002429,2016,,
4070,002429,2017,,
4071,002429,2018,51.0,619.0
4072,002429,2019,74.0,3543.0
4074,002430,2016,,
4075,002430,2017,,
4076,002430,2018,15.0,523.0
4077,002430,2019,9.0,2619.0
4078,002430,2020,16.0,2540.0
4079,002431,2016,,
4080,002431,2017,,
4081,002431,2018,11.0,1371.0
4082,002431,2019,8.0,6759.0
4083,002431,2020,7.0,4207.0
4084,002432,2016,,
4085,002432,2017,,
4086,002432,2018,15.0,783.0
4087,002432,2019,9.0,4150.0
4088,002432,2020,16.0,10075.0
4089,002433,2016,,
4090,002433,2017,,
4091,002433,2018,26.0,765.0
4092,002433,2019,17.0,3315.0
4093,002433,2020,37.0,2947.0
4094,002434,2016,,
4095,002434,2017,,
4096,002434,2018,11.0,673.0
4097,002434,2019,18.0,1213.0
4098,002434,2020,15.0,2994.0
4099,002435,2016,,
4100,002435,2017,,
4101,002435,2018,26.0,883.0
4102,002435,2019,17.0,1826.0
4103,002435,2020,37.0,1738.0
4104,002436,2016,,
4105,002436,2017,,
4106,002436,2018,51.0,1218.0
4109,002437,2016,,
4110,002437,2017,,
4111,002437,2018,26.0,1157.0
4112,002437,2019,17.0,8126.0
4113,002437,2020,37.0,7183.0
4114,002438,2016,,
4115,002438,2017,,
4116,002438,2018,6.0,304.0
4117,002438,2019,10.0,1335.0
4118,002438,2020,8.0,1089.0
4119,002439,2016,,
4120,002439,2017,,
4121,002439,2018,13.0,716.0
4122,002439,2019,15.0,2788.0
4123,002439,2020,13.0,5120.0
4124,002440,2016,,
4125,002440,2017,,
4126,002440,2018,23.0,810.0
4127,002440,2019,16.0,5266.0
4128,002440,2020,12.0,2353.0
4129,002441,2016,,
4130,002441,2017,,
4131,002441,2018,11.0,879.0
4132,002441,2019,6.0,2667.0
4133,002441,2020,5.0,3102.0
4134,002442,2016,,
4135,002442,2017,,
4136,002442,2018,23.0,198.0
4137,002442,2019,16.0,7176.0
4138,002442,2020,12.0,4379.0
4139,002443,2016,,
4140,002443,2017,,
4141,002443,2018,2.0,1188.0
4142,002443,2019,3.0,5225.0
4143,002443,2020,0.0,4310.0
4144,002444,2016,,
4145,002444,2017,,
4146,002444,2018,2.0,608.0
4147,002444,2019,3.0,2838.0
4148,002444,2020,0.0,7923.0
4149,002445,2016,,
4150,002445,2017,,
4152,002445,2019,4.0,6072.0
4153,002445,2020,3.0,5450.0
4154,002446,2016,,
4155,002446,2017,,
4156,002446,2018,51.0,1604.0
4158,002446,2020,70.0,8487.0
4159,002448,2016,,
