,Stkcd,year,EX_INDAT_read,AT
216,000062,2018,11.0,15.0
217,000062,2019,6.0,4039.0
218,000062,2020,5.0,2368.0
219,000063,2016,,
220,000063,2017,,
221,000063,2018,51.0,207.0
224,000065,2016,,
225,000065,2017,,
226,000065,2018,11.0,2.0
227,000065,2019,8.0,2883.0
228,000065,2020,7.0,1369.0
229,000066,2016,,
230,000066,2017,,
231,000066,2018,51.0,83.0
234,000068,2016,,
235,000068,2017,,
236,000068,2018,51.0,29.0
237,000068,2019,74.0,9421.0
238,000068,2020,1.0,2730.0
239,000069,2016,,
240,000069,2017,,
241,000069,2018,19.0,23.0
242,000069,2019,15.0,2904.0
243,000069,2020,10.0,2819.0
244,000070,2016,,
245,000070,2017,,
246,000070,2018,22.0,21.0
248,000070,2020,27.0,7245.0
249,000078,2016,,
250,000078,2017,,
251,000078,2018,7.0,21.0
252,000078,2019,7.0,4382.0
253,000078,2020,12.0,9699.0
254,000088,2016,,
255,000088,2017,,
256,000088,2018,1.0,12.0
257,000088,2019,1.0,2303.0
258,000088,2020,3.0,8004.0
259,000089,2016,,
260,000089,2017,,
261,000089,2018,1.0,2.0
262,000089,2019,0.0,4819.0
263,000089,2020,0.0,5273.0
264,000090,2016,,
265,000090,2017,,
266,000090,2018,11.0,31.0
267,000090,2019,8.0,2090.0
268,000090,2020,7.0,7299.0
269,000096,2016,,
270,000096,2017,,
271,000096,2018,11.0,1.0
272,000096,2019,6.0,590.0
273,000096,2020,5.0,710.0
274,000099,2016,,
275,000099,2017,,
276,000099,2018,1.0,19.0
277,000099,2019,0.0,2386.0
278,000099,2020,0.0,3440.0
279,000100,2016,,
280,000100,2017,,
281,000100,2018,51.0,157.0
284,000150,2016,,
285,000150,2017,,
286,000150,2018,0.0,42.0
288,000150,2020,0.0,3909.0
289,000151,2016,,
290,000151,2017,,
291,000151,2018,11.0,8.0
292,000151,2019,6.0,3202.0
293,000151,2020,5.0,1635.0
294,000153,2016,,
295,000153,2017,,
296,000153,2018,26.0,9.0
297,000153,2019,17.0,1695.0
298,000153,2020,37.0,6011.0
