,AT,EX_INDAT_read,DUVOL,NCSKEW
AT,1.0,0.1179467015852424,0.09041737081049306,0.08122675962697906
EX_INDAT_read,0.1179467015852424,1.0,-0.002342790583500367,-0.03308057635257708
DUVOL,0.09041737081049306,-0.002342790583500367,1.0,0.8937308707110428
NCSKEW,0.08122675962697906,-0.03308057635257708,0.8937308707110428,1.0
