,Stkcd,Time,PB
0,000002,2016-12-31,1.0690099364473593
1,000002,2017-12-31,1.1179629820097399
2,000002,2018-12-31,1.0157357786833625
3,000002,2019-12-31,1.0462724451596297
4,000002,2020-12-31,0.9926543577526304
5,000004,2016-12-31,16.863975176228543
6,000004,2017-12-31,7.229821568003702
7,000004,2018-12-31,4.270073616069141
8,000004,2019-12-31,1.329375339821571
9,000004,2020-12-31,1.6372694929212652
10,000006,2016-12-31,1.576953766869463
11,000006,2018-12-31,1.0447552242984992
12,000006,2019-12-31,1.0041703193362033
13,000006,2020-12-31,0.9828618381285525
14,000008,2016-12-31,2.2999450313137517
15,000008,2017-12-31,2.1665608662776967
16,000008,2018-12-31,1.3084141497139807
17,000008,2019-12-31,1.1975416864261046
18,000008,2020-12-31,1.029484434195355
19,000009,2016-12-31,1.6446854456850855
20,000009,2017-12-31,1.2035128131991657
21,000009,2018-12-31,0.9607855382560782
22,000009,2019-12-31,1.1716543994451045
23,000009,2020-12-31,1.1917814749487534
24,000010,2016-12-31,1.4198313524319581
25,000010,2017-12-31,1.6694908887534747
26,000010,2018-12-31,1.4050943099300826
27,000010,2019-12-31,1.3018239855862048
28,000010,2020-12-31,1.4296763641614447
29,000011,2016-12-31,1.4214903757994106
30,000011,2017-12-31,1.418735537764612
31,000011,2018-12-31,1.091920010307725
32,000011,2019-12-31,1.1866745936529524
33,000011,2020-12-31,1.2409996500380986
34,000012,2016-12-31,1.6312947586499402
35,000012,2017-12-31,1.40203687917807
36,000012,2018-12-31,1.004205613107695
37,000012,2019-12-31,1.138865257434797
38,000012,2020-12-31,1.3716743754766567
39,000014,2016-12-31,2.813873522012933
40,000014,2017-12-31,1.8992053724721576
41,000014,2018-12-31,1.4817251429494334
42,000014,2019-12-31,1.4674354071619653
43,000014,2020-12-31,1.2943459087667342
44,000016,2016-12-31,1.3446806450701991
45,000016,2017-12-31,1.1525185411420307
46,000016,2018-12-31,0.9181387491277683
47,000016,2019-12-31,0.9725535658190213
48,000016,2020-12-31,1.0304582860181237
49,000017,2016-12-31,92.25092250922509
50,000017,2017-12-31,33.871896487484335
51,000017,2018-12-31,25.132574329588582
52,000017,2019-12-31,28.640985249892594
53,000017,2020-12-31,10.752803793589178
54,000018,2016-12-31,1.9962390855627996
55,000018,2017-12-31,1.3446191702355101
56,000018,2018-12-31,1.2269502066797624
57,000019,2016-12-31,5.609342921570168
58,000019,2018-12-31,1.2140622401148018
59,000019,2019-12-31,1.1193545354007064
60,000019,2020-12-31,1.1838018031669064
61,000020,2016-12-31,7.914773716619441
62,000020,2017-12-31,5.324927048499436
63,000020,2018-12-31,4.22217061791467
64,000020,2019-12-31,4.23140719677736
65,000020,2020-12-31,3.764351590438547
66,000021,2016-12-31,1.7312419930057823
67,000021,2017-12-31,1.5045942786297961
68,000021,2018-12-31,1.1055049725613666
69,000021,2019-12-31,1.5854544070876153
70,000021,2020-12-31,1.922160200519752
71,000022,2016-12-31,1.7901961696962752
72,000023,2016-12-31,3.6108122160998892
73,000023,2017-12-31,2.214309755363058
74,000023,2018-12-31,1.5415374986704238
75,000023,2019-12-31,1.4849176910123871
76,000023,2020-12-31,1.711186023032564
77,000025,2016-12-31,9.713641838598127
78,000025,2017-12-31,5.948910754440862
79,000025,2018-12-31,4.765512935984865
80,000025,2019-12-31,5.361470329623196
81,000025,2020-12-31,4.16033948370187
82,000026,2016-12-31,1.6669889511972316
83,000026,2017-12-31,1.5725050634663043
84,000026,2018-12-31,1.104039127146666
85,000026,2019-12-31,1.4759014806243653
86,000026,2020-12-31,1.4187093717103676
87,000027,2016-12-31,1.0395712808037965
88,000027,2017-12-31,0.9909653687332588
89,000027,2018-12-31,0.9215969801110157
90,000027,2019-12-31,0.906719425647647
91,000027,2020-12-31,0.8870698044099787
92,000028,2016-12-31,1.5069591372960331
93,000028,2017-12-31,1.5321443892872464
94,000028,2018-12-31,1.0771370129051785
95,000028,2019-12-31,1.0686557913128971
96,000028,2020-12-31,1.030471028307039
97,000029,2020-12-31,1.6142597247041466
98,000030,2016-12-31,1.5587492595941017
99,000030,2017-12-31,1.3893384942627267
100,000030,2018-12-31,0.9611401428830936
101,000030,2019-12-31,1.0832147213213486
102,000030,2020-12-31,1.3316909145387357
103,000031,2016-12-31,1.0798168198746765
104,000031,2018-12-31,0.9461597269004564
105,000031,2019-12-31,0.9638006127844297
106,000031,2020-12-31,0.9432921083238925
107,000032,2016-12-31,2.610536648018733
108,000032,2017-12-31,1.9199017010329071
109,000032,2018-12-31,1.4348437455161134
110,000032,2019-12-31,2.788762403020787
111,000032,2020-12-31,3.152078322842166
112,000034,2016-12-31,1.3838187308168128
113,000034,2018-12-31,1.1042707671921155
114,000034,2019-12-31,1.215226299441482
115,000034,2020-12-31,1.2322600758825755
116,000035,2016-12-31,1.7705037614352412
117,000035,2018-12-31,1.4017342255838925
118,000035,2019-12-31,1.0415147790947155
119,000035,2020-12-31,0.9590578215960641
120,000036,2016-12-31,1.5666491724175746
121,000036,2017-12-31,1.5974338822116152
122,000036,2018-12-31,1.077579239789398
123,000036,2019-12-31,1.0615361914841444
124,000036,2020-12-31,1.0074084819764548
125,000037,2016-12-31,1.688045766296816
126,000037,2017-12-31,1.4193295654864468
127,000037,2018-12-31,1.0613525452295387
128,000037,2019-12-31,2.0083668563234434
129,000037,2020-12-31,1.8309518752609106
130,000038,2016-12-31,1.181163280468402
131,000038,2017-12-31,1.1427043469616063
132,000038,2018-12-31,1.4582403705097133
133,000038,2019-12-31,1.523644679966053
134,000038,2020-12-31,1.296917615902285
135,000039,2016-12-31,1.014992453531108
136,000039,2017-12-31,1.0809747365394324
137,000039,2018-12-31,0.9443459176870324
138,000039,2019-12-31,0.9510006428764347
139,000039,2020-12-31,1.0001030106100928
140,000040,2016-12-31,1.1099308846038156
141,000040,2017-12-31,1.191190905019202
142,000040,2018-12-31,0.9208391422935893
143,000040,2019-12-31,0.8318740875381102
144,000040,2020-12-31,0.8093122707117173
145,000042,2017-12-31,1.0657345042203086
146,000042,2018-12-31,0.9955261056810693
147,000042,2019-12-31,0.9825103335524332
148,000042,2020-12-31,0.9524471701365904
149,000043,2016-12-31,1.1586599402594935
150,000043,2017-12-31,1.0982095889072045
151,000043,2018-12-31,1.007824751369634
152,000045,2016-12-31,1.798370316818899
153,000045,2017-12-31,1.2898549042218241
154,000045,2018-12-31,0.8656839422554182
155,000045,2019-12-31,0.9421057193354009
156,000045,2020-12-31,0.9027364650464955
157,000048,2017-12-31,2.8008615450112457
158,000048,2018-12-31,2.1150860628518973
159,000048,2019-12-31,1.9776212380699998
160,000048,2020-12-31,1.6497348876035622
161,000049,2016-12-31,2.3856726046057792
162,000049,2017-12-31,1.8282337799099047
163,000049,2018-12-31,1.4105347196068558
164,000049,2019-12-31,1.630246949807957
165,000049,2020-12-31,2.225624955487501
166,000050,2017-12-31,1.4431388847999953
167,000050,2018-12-31,0.9326348520048385
168,000050,2019-12-31,1.0908194453837612
169,000050,2020-12-31,1.0268985814422997
170,000055,2016-12-31,1.8430258060473361
171,000055,2017-12-31,1.3760950276182273
172,000055,2018-12-31,0.9038412348640487
173,000055,2019-12-31,0.9436383675811152
174,000055,2020-12-31,0.8848923218778124
175,000056,2016-12-31,1.2220292773774275
176,000056,2018-12-31,0.9329907391339233
177,000056,2019-12-31,0.9031922426624662
178,000056,2020-12-31,0.8562413573137997
179,000058,2016-12-31,3.0680587471888914
180,000058,2017-12-31,1.4441475918838904
181,000058,2018-12-31,1.3127046178323047
182,000058,2019-12-31,1.4736764543344507
183,000058,2020-12-31,1.4322646252121543
184,000059,2016-12-31,1.2217948655292572
185,000059,2017-12-31,1.0728750368800795
186,000059,2018-12-31,0.8696173944349704
187,000059,2019-12-31,0.849944073679952
188,000059,2020-12-31,0.8106427667561886
189,000060,2016-12-31,1.9692404639530534
190,000060,2017-12-31,1.7967547016578655
191,000060,2018-12-31,1.1752041329578948
192,000060,2019-12-31,1.1960763910069407
193,000060,2020-12-31,1.1791799275276016
194,000061,2016-12-31,1.851982176523533
195,000061,2017-12-31,1.3493765205786665
196,000061,2018-12-31,1.086235119936651
197,000061,2019-12-31,1.133358947245541
198,000061,2020-12-31,1.2509131666116264
199,000062,2016-12-31,3.1918798576421583
200,000062,2017-12-31,2.3460025289907263
201,000062,2018-12-31,1.6662389986570114
202,000062,2019-12-31,1.808014203759585
203,000062,2020-12-31,1.5637754543549582
204,000063,2016-12-31,1.14940018551319
205,000063,2017-12-31,1.609126968163423
206,000063,2018-12-31,1.311329228872847
207,000063,2019-12-31,1.6493566684314784
208,000063,2020-12-31,1.5458387566509713
209,000065,2016-12-31,1.658182300562124
210,000065,2017-12-31,1.3617967000942364
211,000065,2018-12-31,1.0928854251706814
212,000065,2019-12-31,1.0666336721317422
213,000065,2020-12-31,0.9764557001577954
214,000066,2016-12-31,1.1703393867187546
215,000066,2017-12-31,1.773876825540988
216,000066,2018-12-31,1.385229574097315
217,000066,2019-12-31,2.448831662413862
218,000066,2020-12-31,2.6801029159519727
219,000068,2016-12-31,6.135722174499938
220,000068,2017-12-31,2.267959403526677
221,000068,2018-12-31,1.9704705286575381
222,000068,2019-12-31,1.8558178032313497
223,000068,2020-12-31,1.6713883387235609
224,000069,2016-12-31,1.0454575392647716
225,000069,2017-12-31,1.0144292415315448
226,000069,2018-12-31,0.9361831998180059
227,000069,2019-12-31,0.9299280607652192
228,000069,2020-12-31,0.9015945601390619
229,000070,2016-12-31,2.002547240089394
230,000070,2017-12-31,1.4946834111066933
231,000070,2018-12-31,1.2143349815906817
232,000070,2019-12-31,1.692431109591684
233,000070,2020-12-31,1.3676167500229075
234,000078,2016-12-31,1.4516232050679068
235,000078,2017-12-31,1.2078578399636677
236,000078,2018-12-31,1.0124275481535854
237,000078,2019-12-31,1.0565686875303764
238,000078,2020-12-31,1.0849481882992678
239,000088,2016-12-31,1.8924233048145143
240,000088,2017-12-31,1.8413561219566987
241,000088,2018-12-31,1.1907852275947806
242,000088,2019-12-31,1.2499843751953101
243,000088,2020-12-31,1.3334435646680125
244,000089,2016-12-31,1.4556167885017919
245,000089,2017-12-31,1.5048138996650284
246,000089,2018-12-31,1.3209760427784882
247,000089,2019-12-31,1.567471824693951
248,000089,2020-12-31,1.3185254139180906
249,000090,2016-12-31,1.1752566172823835
250,000090,2017-12-31,1.1361351182773465
251,000090,2018-12-31,0.9330238182320317
252,000090,2019-12-31,1.0060210358998607
253,000090,2020-12-31,1.0012625921286742
254,000096,2016-12-31,3.1938983765414553
255,000096,2017-12-31,2.734975412571041
256,000096,2018-12-31,1.8716672624807453
257,000096,2019-12-31,2.0779220779220777
258,000096,2020-12-31,1.7095975094583482
259,000099,2016-12-31,1.8626170887667426
260,000099,2017-12-31,1.4275211808455208
261,000099,2018-12-31,1.0380313942214867
262,000099,2019-12-31,1.185577216051293
263,000099,2020-12-31,1.1678736640985123
264,000100,2016-12-31,0.9727437209392814
265,000100,2017-12-31,0.9940397377325557
266,000100,2018-12-31,0.8757748417912748
267,000100,2019-12-31,0.9806353928964734
268,000100,2020-12-31,1.032469087875509
269,000150,2016-12-31,2.241911184446517
270,000150,2017-12-31,2.245061986161438
271,000150,2018-12-31,1.745030154121063
272,000150,2019-12-31,1.507924899308315
273,000150,2020-12-31,1.418735537764612
274,000151,2016-12-31,3.089576079266164
275,000151,2017-12-31,2.107752524560586
276,000151,2018-12-31,1.8474726574046705
277,000151,2019-12-31,1.8129111909194906
278,000151,2020-12-31,1.8824875944067527
279,000153,2016-12-31,2.152125115945741
280,000153,2017-12-31,1.4577471974810128
281,000153,2018-12-31,1.1115940369649482
282,000153,2019-12-31,1.2066932863205628
283,000153,2020-12-31,1.3570159761490872
284,000155,2017-12-31,1.433056896657968
285,000155,2018-12-31,1.0799894161037222
286,000155,2019-12-31,1.1762325741144144
287,000155,2020-12-31,1.648763839311476
