,Stkcd,Time,INS
151,000040,2016-12-31,0.7850190000000001
152,000040,2017-12-31,0.739968
153,000040,2018-12-31,0.653287
154,000040,2019-12-31,0.499079
155,000040,2020-12-31,0.45477200000000007
156,000042,2016-12-31,0.738154
157,000042,2017-12-31,0.739704
158,000042,2018-12-31,0.7629720000000001
159,000042,2019-12-31,0.7370749999999999
160,000042,2020-12-31,0.7584000000000001
161,000043,2016-12-31,0.5243990000000001
162,000043,2017-12-31,0.5343650000000001
163,000043,2018-12-31,0.5297780000000001
164,000045,2016-12-31,0.5243289999999999
165,000045,2017-12-31,0.493624
166,000045,2018-12-31,0.497085
167,000045,2019-12-31,0.491595
168,000045,2020-12-31,0.49337200000000003
169,000048,2016-12-31,0.6936960000000001
170,000048,2017-12-31,0.683621
171,000048,2018-12-31,0.7349
172,000048,2019-12-31,0.7349079999999999
173,000048,2020-12-31,0.753789
174,000049,2016-12-31,0.674105
175,000049,2017-12-31,0.629706
176,000049,2018-12-31,0.593411
177,000049,2019-12-31,0.5530360000000001
178,000049,2020-12-31,0.663442
179,000050,2016-12-31,0.646811
180,000050,2017-12-31,0.551748
181,000050,2018-12-31,0.68821
182,000050,2019-12-31,0.6829590000000001
183,000050,2020-12-31,0.660556
184,000055,2016-12-31,0.292392
185,000055,2017-12-31,0.299246
186,000055,2018-12-31,0.261081
187,000055,2019-12-31,0.24819
188,000055,2020-12-31,0.244485
189,000056,2016-12-31,0.6844549999999999
190,000056,2017-12-31,0.672992
191,000056,2018-12-31,0.623564
192,000056,2019-12-31,0.6029370000000001
193,000056,2020-12-31,0.5699190000000001
194,000058,2016-12-31,0.31838500000000003
195,000058,2017-12-31,0.369542
196,000058,2018-12-31,0.5727369999999999
197,000058,2019-12-31,0.57003
198,000058,2020-12-31,0.568904
199,000059,2016-12-31,0.591974
200,000059,2017-12-31,0.511051
201,000059,2018-12-31,0.496614
202,000059,2019-12-31,0.49508
203,000059,2020-12-31,0.49777099999999996
204,000060,2016-12-31,0.494214
205,000060,2017-12-31,0.464696
206,000060,2018-12-31,0.413438
207,000060,2019-12-31,0.430365
208,000060,2020-12-31,0.430321
209,000061,2016-12-31,0.705613
210,000061,2017-12-31,0.691435
211,000061,2018-12-31,0.692343
212,000061,2019-12-31,0.693244
213,000061,2020-12-31,0.698244
214,000062,2016-12-31,0.731097
215,000062,2017-12-31,0.733133
216,000062,2018-12-31,0.741283
217,000062,2019-12-31,0.738396
218,000062,2020-12-31,0.731764
219,000063,2016-12-31,0.616712
220,000063,2017-12-31,0.605164
221,000063,2018-12-31,0.611434
222,000063,2019-12-31,0.598008
223,000063,2020-12-31,0.553916
224,000065,2016-12-31,0.801088
