,year,Stkcd,RET,SIGMA
0,2018,000002,0.00143247079498001,0.047978323919209934
1,2018,000004,-0.0024496997353543647,0.04565293998167264
2,2018,000006,-0.006065770440743128,0.04528151073462273
3,2018,000008,-0.013214487136034144,0.06806679106689265
4,2018,000009,-0.0025398233389808344,0.04383811464533327
5,2018,000010,-0.0026578753108360974,0.059553157380058945
6,2018,000011,-0.004121761393603626,0.043262760240528116
7,2018,000012,-0.004296131449990203,0.021385754085749664
8,2018,000014,0.0035605616996222324,0.0766791759462958
9,2018,000016,-0.004035920602348267,0.0422637364860732
10,2018,000017,0.0006491910892009797,0.06907712679752358
11,2018,000018,-0.014511228081548236,0.08163768275907902
12,2018,000019,-0.0041562258953143725,0.07565168460964998
13,2018,000020,0.0016982186566649035,0.0890267655382834
14,2018,000021,-0.0020651145415517074,0.04682652070375658
15,2018,000022,-0.007499643079304104,0.07434710985596647
16,2018,000023,-0.0011467394384541778,0.06444476794353872
17,2018,000025,7.939262752263386e-06,0.049210890951808105
18,2018,000026,-0.0001816054690229836,0.02666208372589331
19,2018,000027,0.004875072365710223,0.02151845947825659
20,2018,000028,0.0006959719613180252,0.027526191451978533
21,2018,000030,-0.0004081792837283395,0.027274221460223576
22,2018,000031,-0.0038098648751135836,0.044386764143773336
23,2018,000032,0.0006682444552203988,0.04501279287379249
24,2018,000034,-0.004400956175664605,0.06000070757804493
25,2018,000035,-0.0031533479620442385,0.09813767527497898
26,2018,000036,-0.001276156476158073,0.044608443754562695
27,2018,000037,0.0003704520168478406,0.04707632626605641
28,2018,000038,-0.012413161911717284,0.06888176499940075
29,2018,000039,-0.005814389597488307,0.02896407431070373
30,2018,000040,-0.004955142126206667,0.0513999571471786
31,2018,000042,-0.0025626765796809363,0.06367208742290761
32,2018,000043,0.0023409162938815686,0.03430769289634009
33,2018,000045,-0.0029221511062138095,0.050641641134632105
34,2018,000048,0.004494576853198917,0.06655916358243012
35,2018,000049,0.0008676685267385892,0.04329847634662348
36,2018,000050,-0.0052591938760909365,0.039670473999724516
37,2018,000055,-0.0003958111334531321,0.048744262497583776
38,2018,000056,-0.01899908560103276,0.08321541436862553
39,2018,000058,0.004315041463398614,0.07275666964848507
40,2018,000059,-0.0036561820680794154,0.02778842960135103
41,2018,000060,-0.0039472900781073106,0.030813958718966746
42,2018,000061,-0.0021692915972186186,0.03937749025591084
43,2018,000062,0.0016019435999771955,0.034758998668003444
44,2018,000063,-0.0038296970751593466,0.09428261112828439
45,2018,000065,-0.0013705667123762887,0.04099151892190901
46,2018,000066,0.0003541821358928922,0.05175185540210216
47,2018,000068,0.004262929646354432,0.09266951396966036
48,2018,000069,0.001193536449024753,0.03636828205454311
49,2018,000070,0.0022544312346327307,0.04182445636032328
50,2018,000078,-0.005778337630242992,0.03545387396388276
51,2018,000088,-0.0009190270774925622,0.03200903831511289
52,2018,000089,0.005694265236574479,0.028155956842605342
53,2018,000090,-0.004328491961000141,0.027242726072637717
54,2018,000096,-0.0006128143571925398,0.04121442366380084
55,2018,000099,-0.002377749592223988,0.025465806367052035
56,2018,000100,-0.0006684668993217848,0.02395766940749554
57,2018,000150,0.0004168648246006372,0.07197819541842118
58,2018,000151,0.0037561448252376563,0.07901059864899543
59,2018,000153,-0.0010062623140981734,0.03707771709320556
60,2018,000155,-0.0025845086707922725,0.04745090938310262
61,2018,000156,-0.004108034622901995,0.04696327368303277
62,2018,000157,0.00377219093950882,0.02139358520482479
63,2018,000158,-6.420955189192659e-07,0.06531291910974193
64,2018,000159,0.0033167009318618144,0.05669599191115618
65,2018,000301,0.006723861380058603,0.04647783149583826
66,2018,000333,-0.002704780524218548,0.03333419323312154
67,2018,000338,0.007014408582057847,0.03083157002472325
68,2018,000400,-0.00037170309549708813,0.045921736245651955
69,2018,000401,0.006306074752819468,0.05912448049910051
70,2018,000402,-0.00316737457553768,0.026169015734772674
71,2018,000403,0.004448954867784,0.04125584557005086
72,2018,000404,-0.0014110453682847713,0.02575600055693924
73,2018,000407,-0.0058601762954322715,0.050434231383022644
74,2018,000408,-0.0025798287134107174,0.050174121186101164
75,2018,000409,0.004110572823457672,0.08985532060826043
76,2018,000411,-0.0011811860722508046,0.0690294170522512
77,2018,000413,-0.006552929357069363,0.033287006019950466
78,2018,000415,-0.010016494412070412,0.062486372765303694
79,2018,000417,-0.0037414937468489844,0.021509756726003835
80,2018,000418,-0.002193246610460366,0.04708316544574008
81,2018,000419,-0.00013402982401760255,0.023250442213665203
82,2018,000420,-0.0037189601448658818,0.03181777622806944
83,2018,000421,0.001402775623303274,0.021619706561146153
84,2018,000422,0.0006247446491138859,0.06903071594009108
85,2018,000423,-0.000795498294926754,0.03230900106953806
86,2018,000425,0.0005302676412844124,0.02563397537457124
87,2018,000426,-0.01060798265076934,0.05797468311119258
88,2018,000428,-0.002313000378681194,0.03085995164462259
89,2018,000429,0.009081665249606241,0.03285753614071976
90,2018,000430,-0.0035296856842856063,0.035108025043753065
91,2018,000488,-0.005166100783210312,0.029245541899174853
92,2018,000498,0.0018292743174154282,0.05859090245067033
93,2018,000501,-0.003228219139327096,0.024452521618253942
94,2018,000503,-0.010156136612994887,0.07462392264385946
95,2018,000504,-0.006307935548254813,0.07269578397182384
96,2018,000505,-0.0010000011412428015,0.05357539863293497
97,2018,000506,-0.022358562100482576,0.09228942909467772
98,2018,000507,-0.0007468982617369668,0.0478171407933611
99,2018,000510,-0.006851596344956226,0.0419694378876564
100,2018,000511,-0.2899393351149686,0.2074161569861064
101,2018,000513,-0.006671363354655506,0.04038843043675664
102,2018,000514,-0.004443993614234896,0.044424314614044405
103,2018,000517,-0.0011168976664662437,0.08664345602119866
104,2018,000518,-0.005370611096232933,0.04641361556916318
105,2018,000519,-0.0010945910124061677,0.04600296364431421
106,2018,000520,0.0006994679239683987,0.05188055042336884
107,2018,000521,-0.002625585020771404,0.03002504129253
108,2018,000524,-0.0011572320152780972,0.030444163361278188
109,2018,000526,-0.018405173378868146,0.10976049474199054
110,2018,000528,0.006407650350175216,0.043916569595396575
111,2018,000529,-0.0007450085932183732,0.04199619010646712
112,2018,000530,-0.002237510689496881,0.040475144958997775
