,Stkcd,Time,ROA_TTM
162,000043,2017-12-31,-0.0017
163,000043,2018-12-31,0.050942
164,000045,2016-12-31,-0.024621
165,000045,2017-12-31,0.017717
166,000045,2018-12-31,-0.014136
167,000045,2019-12-31,-0.004049
168,000045,2020-12-31,0.009156
169,000048,2016-12-31,0.003079
170,000048,2017-12-31,-0.047321
171,000048,2018-12-31,0.098938
172,000048,2019-12-31,0.198764
173,000048,2020-12-31,0.107197
174,000049,2016-12-31,0.081814
175,000049,2017-12-31,0.056996
176,000049,2018-12-31,0.063939
177,000049,2019-12-31,0.076152
178,000049,2020-12-31,0.083133
179,000050,2016-12-31,0.026285
180,000050,2017-12-31,0.031451
181,000050,2018-12-31,0.02194
182,000050,2019-12-31,0.013218
183,000050,2020-12-31,0.021215
184,000055,2016-12-31,0.116608
185,000055,2017-12-31,0.159729
186,000055,2018-12-31,0.245694
187,000055,2019-12-31,0.031483
188,000055,2020-12-31,0.03286
189,000056,2016-12-31,0.012493
190,000056,2017-12-31,0.016933
191,000056,2018-12-31,0.008654
192,000056,2019-12-31,0.005933
193,000056,2020-12-31,-0.026403
194,000058,2016-12-31,0.055097
195,000058,2017-12-31,0.06457
196,000058,2018-12-31,0.003335
197,000058,2019-12-31,0.015492
198,000058,2020-12-31,0.005022
199,000059,2016-12-31,0.060307
200,000059,2017-12-31,0.062278
201,000059,2018-12-31,0.035433
202,000059,2019-12-31,0.033937
203,000059,2020-12-31,0.01205
204,000060,2016-12-31,0.020815
205,000060,2017-12-31,0.061028
206,000060,2018-12-31,0.047405
207,000060,2019-12-31,0.043759
208,000060,2020-12-31,0.049244
209,000061,2016-12-31,0.005589
210,000061,2017-12-31,0.00339
211,000061,2018-12-31,0.005297
212,000061,2019-12-31,0.021081
213,000061,2020-12-31,0.022669
214,000062,2016-12-31,0.06712
215,000062,2017-12-31,0.058976
216,000062,2018-12-31,0.081577
217,000062,2019-12-31,0.066251
218,000062,2020-12-31,0.061017
219,000063,2016-12-31,-0.010725
220,000063,2017-12-31,0.037719
221,000063,2018-12-31,-0.050853
222,000063,2019-12-31,0.042703
223,000063,2020-12-31,0.032358
224,000065,2016-12-31,0.056307
225,000065,2017-12-31,0.046006
226,000065,2018-12-31,0.053927
227,000065,2019-12-31,0.056468
228,000065,2020-12-31,0.047774
229,000066,2016-12-31,0.005345
230,000066,2017-12-31,0.024832
231,000066,2018-12-31,0.067707
232,000066,2019-12-31,0.061894
233,000066,2020-12-31,0.039617
234,000068,2016-12-31,0.008422
235,000068,2017-12-31,0.015857
236,000068,2018-12-31,-0.044719
237,000068,2019-12-31,0.001994
238,000068,2020-12-31,-0.047752
