,Stkcd,year,DUVOL,ControlDUVOL
0,000002,2018,-0.2994747857314347,-0.21312249162272884
1,000002,2019,-0.05671870019722931,-0.2994747857314347
2,000002,2020,-0.33313347788149344,-0.05671870019722931
3,000004,2018,-0.14700371715612132,-0.976750438187777
4,000004,2019,-1.6146771050787363,-0.14700371715612132
5,000004,2020,-0.4787309408198952,-1.6146771050787363
6,000006,2018,-0.10976032480389426,-0.08553835966687158
7,000006,2019,-0.07324412732605742,-0.10976032480389426
8,000006,2020,0.4542028167601728,-0.07324412732605742
9,000008,2018,-0.5431898561340964,0.20115441199395093
10,000008,2019,-0.3102103317436821,-0.5431898561340964
11,000008,2020,-1.6552473088173532,-0.3102103317436821
12,000009,2018,-1.1709422046144642,-1.0248681761470215
13,000009,2019,0.3460265127223153,-1.1709422046144642
14,000009,2020,-1.356169693401441,0.3460265127223153
15,000010,2018,-0.21551259914610213,0.3521159487143065
16,000010,2019,-0.3868134428093011,-0.21551259914610213
17,000010,2020,-0.6289923405165677,-0.3868134428093011
18,000011,2018,-0.471370768130719,-0.05143279954513525
19,000011,2019,-0.5128298717719002,-0.471370768130719
20,000011,2020,-0.5547382625571924,-0.5128298717719002
21,000012,2018,-1.3672435410671673,-0.19677582390404166
22,000012,2019,-0.5550472883366664,-1.3672435410671673
23,000012,2020,-0.3477028322129921,-0.5550472883366664
24,000014,2018,-0.8910863123186332,-0.557132545662989
25,000014,2019,0.17502854218414332,-0.8910863123186332
26,000014,2020,0.3918478797606556,0.17502854218414332
27,000016,2018,-1.5580912929261097,-0.36884055629741797
28,000016,2019,-1.5402935656225083,-1.5580912929261097
29,000016,2020,-0.5351418393392015,-1.5402935656225083
30,000017,2018,-1.8799262763449383,-1.4075129754995843
31,000017,2019,0.4173171215886875,-1.8799262763449383
32,000017,2020,-1.04213676702293,0.4173171215886875
33,000018,2018,1.1846648357002714,0.5915028655276323
34,000018,2019,,1.1846648357002714
35,000019,2018,-0.655358345749179,-0.8108223554004156
36,000019,2019,-1.6529456543374048,-0.655358345749179
37,000019,2020,-0.38040570237147214,-1.6529456543374048
38,000020,2018,-0.6577935616514214,-1.621186814697615
39,000020,2019,-0.9688685118816224,-0.6577935616514214
40,000020,2020,-0.08651465208674136,-0.9688685118816224
41,000021,2018,-1.8453143634252756,-0.23115943533181565
42,000021,2019,-0.9195668746680874,-1.8453143634252756
43,000021,2020,-0.6503192190886092,-0.9195668746680874
44,000023,2018,-1.184174370807719,-0.1038697945969102
45,000023,2019,-0.7407810377605358,-1.184174370807719
46,000023,2020,0.6636139144391596,-0.7407810377605358
47,000025,2018,-1.5699714997647198,-1.2530401097616657
48,000025,2019,-1.2058306215687595,-1.5699714997647198
49,000025,2020,0.4806978012467961,-1.2058306215687595
50,000026,2018,-1.4112493521389524,-0.734628309592022
51,000026,2019,-1.0866382253216724,-1.4112493521389524
52,000026,2020,0.3341383865949341,-1.0866382253216724
53,000027,2018,-0.8180387786812603,-0.6614538412405551
54,000027,2019,-0.2938597062923229,-0.8180387786812603
55,000027,2020,-0.9740086356713742,-0.2938597062923229
56,000028,2018,-0.18902343401940225,0.07630072345667918
57,000028,2019,0.12591709313128047,-0.18902343401940225
58,000028,2020,0.21735467694798252,0.12591709313128047
59,000029,2020,-0.5635959018617691,
60,000030,2018,-1.0949684593352855,-1.34483354569016
61,000030,2019,-1.1185978819140294,-1.0949684593352855
62,000030,2020,-0.3321433025337049,-1.1185978819140294
63,000031,2018,-1.2781682211510788,0.018998311090713392
64,000031,2019,0.32337507697252843,-1.2781682211510788
65,000031,2020,-0.05631786710290265,0.32337507697252843
66,000032,2018,-1.111938316149133,-0.09824722580587593
67,000032,2019,-0.7442197163353288,-1.111938316149133
68,000032,2020,-1.3344340425701573,-0.7442197163353288
69,000034,2018,-1.074452261462728,-0.6089278656580978
70,000034,2019,0.01728763755147115,-1.074452261462728
71,000034,2020,0.017168503208688766,0.01728763755147115
72,000035,2018,-1.1235132419692784,1.4720817327436149
73,000035,2019,0.4331598079820181,-1.1235132419692784
74,000035,2020,-0.6682937526463222,0.4331598079820181
75,000036,2018,-0.15307066705086333,-0.7344419685560529
76,000036,2019,-0.2768875447848909,-0.15307066705086333
77,000036,2020,-1.3925517885818126,-0.2768875447848909
78,000037,2018,-1.8430777506804856,-1.2343150809852064
79,000037,2019,-1.360709960219154,-1.8430777506804856
80,000037,2020,0.17311976608203475,-1.360709960219154
81,000038,2018,-1.1607804358758749,0.5600285815081506
82,000038,2019,-0.2201330857229724,-1.1607804358758749
83,000038,2020,0.514867482003353,-0.2201330857229724
84,000039,2018,-0.5124463606970681,0.6330084347040716
85,000039,2019,-1.4530552082232957,-0.5124463606970681
86,000039,2020,0.7492511922975831,-1.4530552082232957
87,000040,2018,-0.44494438966816224,-0.3796004836898963
88,000040,2019,-0.4800881000772637,-0.44494438966816224
89,000040,2020,0.3140661191377507,-0.4800881000772637
90,000042,2018,-0.012653202711963246,0.3325019221993218
91,000042,2019,0.6770638334817838,-0.012653202711963246
92,000042,2020,0.44569992342781095,0.6770638334817838
93,000043,2018,-1.3961614864381697,0.12975196888381904
94,000045,2018,-1.1049968320587489,-0.6527723906174396
