,Stkcd,Time,Dturn
131,000045,2020-12-31,-0.017911750000000004
132,000048,2018-12-31,0.0007828000000000002
133,000048,2019-12-31,0.0026475000000000005
134,000048,2020-12-31,0.10328933333333333
135,000049,2017-12-31,0.15078341666666673
136,000049,2018-12-31,-0.09593316666666668
137,000049,2019-12-31,0.3584405833333334
138,000049,2020-12-31,-0.0671818333333335
139,000050,2018-12-31,-0.24705486666666662
140,000050,2019-12-31,0.28345699999999996
141,000050,2020-12-31,-0.25610333333333335
142,000055,2017-12-31,-0.03218800000000005
143,000055,2018-12-31,0.10190875000000005
144,000055,2019-12-31,0.13923066666666684
145,000055,2020-12-31,-0.2633772500000002
146,000056,2017-12-31,-0.1202195
147,000056,2018-12-31,0.049348166666666665
148,000056,2019-12-31,0.16475916666666668
149,000056,2020-12-31,-0.20147716666666665
150,000058,2017-12-31,0.009638666666666629
151,000058,2018-12-31,0.055720833333333386
152,000058,2019-12-31,0.5316166666666666
153,000058,2020-12-31,-0.03856824999999975
154,000059,2017-12-31,-0.4107349166666666
155,000059,2018-12-31,-0.23599233333333336
156,000059,2019-12-31,-0.025855250000000024
157,000059,2020-12-31,0.0387909166666667
158,000060,2017-12-31,-0.06502308333333329
159,000060,2018-12-31,-0.1186680000000001
160,000060,2019-12-31,-0.01138599999999998
161,000060,2020-12-31,0.04257000000000005
162,000061,2017-12-31,-0.07864979999999999
163,000061,2018-12-31,0.010081300000000015
164,000061,2019-12-31,0.05006583333333333
165,000061,2020-12-31,0.23205283333333326
166,000062,2017-12-31,-0.05652783333333333
167,000062,2018-12-31,-0.08010233333333332
168,000062,2019-12-31,0.03756725000000001
169,000062,2020-12-31,-0.005904500000000021
170,000063,2017-12-31,0.1651565833333334
171,000063,2018-12-31,0.35704378030303013
172,000063,2019-12-31,-0.09733886363636357
173,000063,2020-12-31,-0.08374474999999992
174,000065,2017-12-31,-0.06513991666666669
175,000065,2018-12-31,-0.09536183333333334
176,000065,2019-12-31,0.05270191666666668
177,000065,2020-12-31,-0.10802391666666669
178,000066,2017-12-31,-0.021418250000000028
179,000066,2018-12-31,0.11288783333333341
180,000066,2019-12-31,0.509023
181,000066,2020-12-31,-0.20990275000000014
182,000068,2017-12-31,-0.017868083333333312
183,000068,2018-12-31,0.07848174999999999
184,000068,2019-12-31,0.4620554166666666
185,000068,2020-12-31,-0.37742408333333327
186,000069,2017-12-31,0.015979083333333338
187,000069,2018-12-31,-0.0028689166666666654
188,000069,2019-12-31,-0.009724000000000024
189,000069,2020-12-31,0.028041416666666694
190,000070,2017-12-31,0.09044550000000001
191,000070,2018-12-31,-0.04112333333333337
192,000070,2019-12-31,1.0531678333333334
193,000070,2020-12-31,-0.7209829166666667
194,000078,2017-12-31,0.0013558333333333616
195,000078,2018-12-31,-0.007091583333333373
196,000078,2019-12-31,0.05931300000000003
197,000078,2020-12-31,0.28907391666666654
198,000088,2017-12-31,0.1514469166666667
199,000088,2018-12-31,-0.13760825000000004
200,000088,2019-12-31,0.03491916666666668
201,000088,2020-12-31,0.09403616666666662
202,000089,2017-12-31,0.005584916666666662
203,000089,2018-12-31,0.00241358333333333
204,000089,2019-12-31,0.09207950000000002
205,000089,2020-12-31,0.02512133333333333
206,000090,2017-12-31,0.07685849999999994
207,000090,2018-12-31,-0.20696091666666663
208,000090,2019-12-31,0.009200750000000035
209,000090,2020-12-31,0.1666560833333333
210,000096,2017-12-31,-0.09486208333333333
211,000096,2018-12-31,-0.033580166666666675
212,000096,2019-12-31,0.013626583333333338
213,000096,2020-12-31,0.005987999999999993
214,000099,2017-12-31,-0.006332285714285707
215,000099,2018-12-31,-0.011908797619047617
216,000099,2019-12-31,0.09920733333333337
217,000099,2020-12-31,0.011371749999999986
218,000100,2017-12-31,0.11642040000000001
219,000100,2018-12-31,-0.10758398333333333
220,000100,2019-12-31,0.21197383333333328
221,000100,2020-12-31,0.3846710833333334
222,000150,2017-12-31,-0.08768158333333335
223,000150,2018-12-31,0.03486558333333335
224,000150,2019-12-31,0.45729975
225,000150,2020-12-31,-0.13282766666666673
226,000151,2017-12-31,-0.55392725
227,000151,2018-12-31,0.35084075000000015
228,000151,2019-12-31,-0.49184183333333337
