,Stkcd,Time,BP
163,000049,2018-12-31,0.708951
164,000049,2019-12-31,0.613404
165,000049,2020-12-31,0.449312
166,000050,2017-12-31,0.692934
167,000050,2018-12-31,1.072231
168,000050,2019-12-31,0.916742
169,000050,2020-12-31,0.973806
170,000055,2016-12-31,0.542586
171,000055,2017-12-31,0.726694
172,000055,2018-12-31,1.106389
173,000055,2019-12-31,1.059728
174,000055,2020-12-31,1.130081
175,000056,2016-12-31,0.818311
176,000056,2018-12-31,1.071822
177,000056,2019-12-31,1.107184
178,000056,2020-12-31,1.167895
179,000058,2016-12-31,0.325939
180,000058,2017-12-31,0.69245
181,000058,2018-12-31,0.761786
182,000058,2019-12-31,0.678575
183,000058,2020-12-31,0.698195
184,000059,2016-12-31,0.818468
185,000059,2017-12-31,0.932075
186,000059,2018-12-31,1.149931
187,000059,2019-12-31,1.176548
188,000059,2020-12-31,1.233589
189,000060,2016-12-31,0.50781
190,000060,2017-12-31,0.556559
191,000060,2018-12-31,0.850916
192,000060,2019-12-31,0.836067
193,000060,2020-12-31,0.848047
194,000061,2016-12-31,0.539962
195,000061,2017-12-31,0.741083
196,000061,2018-12-31,0.920611
197,000061,2019-12-31,0.882333
198,000061,2020-12-31,0.799416
199,000062,2016-12-31,0.313295
200,000062,2017-12-31,0.426257
201,000062,2018-12-31,0.600154
202,000062,2019-12-31,0.553093
203,000062,2020-12-31,0.639478
204,000063,2016-12-31,0.870019
205,000063,2017-12-31,0.621455
206,000063,2018-12-31,0.762585
207,000063,2019-12-31,0.606297
208,000063,2020-12-31,0.646898
209,000065,2016-12-31,0.60307
210,000065,2017-12-31,0.734324
211,000065,2018-12-31,0.915009
212,000065,2019-12-31,0.937529
213,000065,2020-12-31,1.024112
214,000066,2016-12-31,0.854453
215,000066,2017-12-31,0.563737
216,000066,2018-12-31,0.721902
217,000066,2019-12-31,0.408358
218,000066,2020-12-31,0.37312
219,000068,2016-12-31,0.16298
220,000068,2017-12-31,0.440925
221,000068,2018-12-31,0.507493
222,000068,2019-12-31,0.538846
223,000068,2020-12-31,0.598305
224,000069,2016-12-31,0.956519
225,000069,2017-12-31,0.985776
226,000069,2018-12-31,1.068167
227,000069,2019-12-31,1.075352
228,000069,2020-12-31,1.109146
229,000070,2016-12-31,0.499364
230,000070,2017-12-31,0.669038
231,000070,2018-12-31,0.823496
232,000070,2019-12-31,0.590866
233,000070,2020-12-31,0.731199
234,000078,2016-12-31,0.688884
235,000078,2017-12-31,0.827912
236,000078,2018-12-31,0.987725
237,000078,2019-12-31,0.94646
238,000078,2020-12-31,0.921703
239,000088,2016-12-31,0.528423
240,000088,2017-12-31,0.543078
241,000088,2018-12-31,0.839782
242,000088,2019-12-31,0.80001
243,000088,2020-12-31,0.749938
244,000089,2016-12-31,0.686994
245,000089,2017-12-31,0.664534
246,000089,2018-12-31,0.757016
247,000089,2019-12-31,0.63797
248,000089,2020-12-31,0.758423
249,000090,2016-12-31,0.850878
250,000090,2017-12-31,0.880177
251,000090,2018-12-31,1.071784
252,000090,2019-12-31,0.994015
253,000090,2020-12-31,0.998739
254,000096,2016-12-31,0.313097
255,000096,2017-12-31,0.365634
256,000096,2018-12-31,0.534283
257,000096,2019-12-31,0.48125
258,000096,2020-12-31,0.584933
259,000099,2016-12-31,0.536879
260,000099,2017-12-31,0.700515
261,000099,2018-12-31,0.963362
262,000099,2019-12-31,0.843471
263,000099,2020-12-31,0.856257
264,000100,2016-12-31,1.02802
265,000100,2017-12-31,1.005996
266,000100,2018-12-31,1.141846
267,000100,2019-12-31,1.019747
268,000100,2020-12-31,0.968552
269,000150,2016-12-31,0.446048
270,000150,2017-12-31,0.445422
271,000150,2018-12-31,0.573056
272,000150,2019-12-31,0.663163
273,000150,2020-12-31,0.704853
274,000151,2016-12-31,0.323669
275,000151,2017-12-31,0.474439
276,000151,2018-12-31,0.54128
277,000151,2019-12-31,0.551599
278,000151,2020-12-31,0.531212
279,000153,2016-12-31,0.464657
280,000153,2017-12-31,0.68599
281,000153,2018-12-31,0.899609
282,000153,2019-12-31,0.828711
283,000153,2020-12-31,0.736911
284,000155,2017-12-31,0.697809
285,000155,2018-12-31,0.925935
286,000155,2019-12-31,0.850172
287,000155,2020-12-31,0.606515
288,000156,2016-12-31,0.565439
289,000156,2017-12-31,0.777199
290,000156,2018-12-31,0.958161
291,000156,2019-12-31,0.816298
292,000156,2020-12-31,0.945043
293,000157,2016-12-31,1.028283
294,000157,2017-12-31,1.033641
295,000157,2018-12-31,1.10439
296,000157,2019-12-31,0.897492
297,000157,2020-12-31,0.821904
298,000158,2016-12-31,0.676861
299,000158,2017-12-31,0.74546
300,000158,2018-12-31,0.850217
301,000158,2019-12-31,0.74316
