,AT,EX_INDAT_read,DUVOL,NCSKEW
AT,1.0,0.0810766031047168,0.08964820326996385,0.07867357805282672
EX_INDAT_read,0.0810766031047168,1.0,-0.014213949221098426,-0.05059470828823104
DUVOL,0.08964820326996385,-0.014213949221098426,1.0,0.893580105004765
NCSKEW,0.07867357805282672,-0.05059470828823104,0.893580105004765,1.0
